id,Translation
0,"capaz".
1,"incapaz".
2,"disidente".
3,"parturiente".
4,"sin cortar, de cuerpo entero".
5,"absoluto".
6,"directo".
7,"incuestionable, implícito".
8,"infinito".
9,"vivir".
10,"relativo, comparativo".
11,"sorbefaciente, absorbente".
12,"asimilado, asimilado, asimilado".
13,"receptivo".
14,"no absorbente, no absorbente".
15,"resistente, repelente".
16,"quimiorresistente, quimiorresistente".
17,"no absorbente, no absorbente".
18,"absorbible".
19,"adsorbible, adsorbible".
20,"abstinente, abstenido".
21,"espartana, austera, ascética, ascética".
22,"crapuloso, crapuloso".
23,"cerdo, cerdo, cerdito, cerdito, cerdito,"
24,"demasiado codicioso, demasiado codicioso".
25,"nocional, ideacional, conceptual".
26,"conceptual".
27,"ideológico, ideológico".
28,"concreto".
29,"abundante".
30,"en abundancia, en abundancia".
31,"rico, abundante, abundante, copioso, amplio,"
32,"fácil".
33,"revoltoso, profuso, exuberante, exuberante,"
34,"grueso".
35,"largo".
36,"abundante, pletórica, sobreabundante".
37,"abundante".
38,"rango".
39,"superabundante".
40,"torrencial".
41,"verde".
42,"escasa".
43,"raro".
44,"apretado".
45,"maltratados, maltratados, maltratados, abusados,"
46,"maltratado".
47,"sin abusar".
48,"aceptable".
49,"bancable".
50,"intachable, intachable".
51,"inobjetable".
52,"inaceptable".
53,"objetable, excepcional".
54,"accesible".
55,"accesible, accesible".
56,"conseguible, conseguible, llegable".
57,"listo para la mano, a mano".
58,"inaccesible, inaccesible".
59,"remoto, interior".
60,"no pisado, no pisado, no rastreado, sin pistas, sin camino, sin senderos".
61,"ungetatable, un-get-at-able, un-come-at-able,"
62,"complaciente, complaciente".
63,"complaciente, complaciente".
64,"desobligar, no acomodar".
65,"no cooperativo, desobligado".
66,"exacto".
67,"fiel, cercano".
68,"muerto en".
69,"alta fidelidad, hi-fi,"
70,"quirúrgico".
71,"verdadero, muerto en el blanco".
72,"veraz, correcto".
73,"inexacto".
74,"equivocado, incorrecto, defectuoso".
75,"infiel".
76,"a lo ancho de la marca, a lo ancho".
77,"acostumbrado".
78,"solía, solía,"
79,"desacostumbrado".
80,"nuevo".
81,"sin usar".
82,"ácido".
83,"ácido".
84,"formación de ácido".
85,"alcalino, alcalino".
86,"básico".
87,"formación de la base".
88,"salado".
89,"anfotérico, anfiprótico".
90,"amante del ácido".
91,"amante de los alcalinos".
92,"reconocido".
93,"reconocido, reconocido, aceptado".
94,"auto-confesado".
95,"asuntivo".
96,"declarable".
97,"putativo".
98,"no reconocido".
99,"no valorado, no cantado, no apreciado".
100,"secreto no reconocido".
101,"no confesado".
102,"no reconocido, no reconocido".
103,"acumulativo".
104,"voraz, voraz, rapaz,"
105,"sórdido".
106,"inaceptable".
107,"activo".
108,"gimnasia, atletismo, acrobacia".
109,"caliente".
110,"hiperactivo, hiperactivo".
111,"en marcha".
112,"deportivo".
113,"inactivo".
114,"de escritorio, de mesa".
115,"inactivo, aburrido".
116,"poco activo, hipoactivo".
117,"torpe, empapado, lento, inerte".
118,"sedentaria".
119,"activado".
120,"inactivo".
121,"off".
122,"retirado".
123,"rápido".
124,"bullicioso".
125,"ocupado".
126,"yendo"...
127,"elástico".
128,"inactivo".
129,"muerto".
130,"lento, lento, aburrido".
131,"sin usar, ocioso".
132,"activo".
133,"progresivo".
134,"inactivo".
135,"callejón sin salida".
136,"latente".
137,"quiescente".
138,"activo".
139,"pasivo, inactivo".
140,"sin manos".
141,"sin resistencia, supino, inquieto".
142,"activo".
143,"eruptivo".
144,"quiescente".
145,"muerto".
146,"activo".
147,"vivo, vivo".
148,"activo".
149,"activado".
150,"contrarrestado".
151,"inactivo".
152,"quiescente".
153,"activo".
154,"tranquilo".
155,"existente, actual".
156,"efectivo".
157,"potencial, posible".
158,"latente".
159,"agudo".
160,"crónica".
161,"degenerativo".
162,"virulento".
163,"altamente infeccioso".
164,"mortal".
165,"avirulento".
166,"adaptable, adaptable".
167,"reconciliar, acomodar".
168,"ajustable".
169,"inadaptado".
170,"inadaptado".
171,"no adicto".
172,"limpio".
173,"formación de hábitos, adictivo".
174,"no adictivo".
175,"aditivo".
176,"adicionable, adicionable".
177,"Complementario, complementario, complementario".
178,"sustractivo".
179,"ablativo".
180,"reductora".
181,"dirigido".
182,"sin dirección".
183,"hasta, igual a, capaz, adecuado a,"
184,"competente".
185,"desigual, inadecuado".
186,"carencia, falta, deficiencia".
187,"desigual a, incompetente, incapaz,"
188,"con poco personal, sin personal, con poco personal, sin mano de obra".
189,"adhesivo".
190,"bondable".
191,"cohesivo".
192,"gomoso, engomado".
193,"autosellado".
194,"stick-on".
195,"no adhesivo".
196,"no viscoso, no pegajoso".
197,"no resinoso, no resinoso, no resinoso, no resinoso,"
198,"sin goma".
199,"sustantivo, esencial".
200,"adoptable".
201,"decorada, adornada".
202,"lentejuelas, lentejuelas, lentejuelas, joyas, gemas, beady".
203,"bedaubed".
204,"con gafas, monóculo, con gafas".
205,"buttony".
206,"emplumado, crestado".
207,"plumoso, emplumado, emplumado,"
208,"con volantes, con volantes, con volantes".
209,"fringed".
210,"borde dorado".
211,"inflamado".
212,"incrustado".
213,"montado".
214,"con revestimiento, con paneles".
215,"tachonado".
216,"Tapestried".
217,"borlas, borlas".
218,"engañado".
219,"copetudo".
220,"sin decoración, sin adornos".
221,"sin adornos, sin embellecer, de repuesto, simple, desnudo,"
222,"sin comer".
223,"hábil".
224,"limpio, limpio".
225,"ingenioso, astuto, inteligente".
226,"diestro, hábil, hábil".
227,"Handy".
228,"rápido de mente".
229,"maladroit".
230,"zurdo, mano dura, sin manos, con manos de jamón, con dedos de mariposa, torpeza, torpeza".
231,"sin tacto, inepto".
232,"descoordinada".
233,"no mecánico, no mecánico".
234,"ventajoso".
235,"bueno, beneficioso".
236,"positivo, más".
237,"preferencial, discriminatorio".
238,"desventajosa".
239,"negativo, menos".
240,"aventurero, aventurero".
241,"aventurero, atrevido, audaz,"
242,"deportivo".
243,"espantoso, fanfarrón".
244,"poco aventurero".
245,"recomendable".
246,"mejor, mejor".
247,"bueno".
248,"desaconsejable, desaconsejable".
249,"bien aconsejado, aconsejado".
250,"desaconsejable, mal aconsejado".
251,"anaerobiotico, anaerobio".
252,"aeróbico".
253,"anaeróbico".
254,"estética, estética, estética, estética".
255,"artístico".
256,"pintura".
257,"sensual".
258,"inestético, inestético".
259,"no artístico, no artístico".
260,"afectado".
261,"impresionado".
262,"Golpeado, golpeado, golpeado".
263,"golpe de escenario".
264,"sujeto".
265,"tomado".
266,"Wonder-struck".
267,"no afectado".
268,"inmune".
269,"superior".
270,"no impresionado".
271,"intacto, sin desviaciones, sin influencias,"
272,"con zancos, con engaños, con artificios,"
273,"tensas, forzadas, constreñidas".
274,"elocuente".
275,"amanerado".
276,"ciruela".
277,"no afectado".
278,"natural, como la vida misma".
279,"sin modales".
280,"inconsciente".
281,"afirmativo, afirmativo".
282,"asentimiento".
283,"negativo".
284,"disidente, disidente, disidente".
285,"aceptable".
286,"aceptando".
287,"rechazado".
288,"despreciativo".
289,"miedo".
290,"acrofóbico".
291,"temeroso, temeroso".
292,"conmocionado, consternado, horrorizado, horrorizado,"
293,"agorafóbico".
294,"alarmado".
295,"algofóbico".
296,"aprensivo".
297,"hangdog".
298,"claustrofóbico".
299,"temeroso".
300,"asustado, asustado".
301,"horrorizado, horrorizado, horrorizado,"
302,"cazado".
303,"hidrofóbico, acuafóbico,"
304,"misofóbico".
305,"entumecido".
306,"cagado".
307,"golpeado por el terror, golpeado por el terror".
308,"triskaidekaphobic".
309,"nervioso".
310,"labios blancos".
311,"xenófobo".
312,"sin miedo, sin temor".
313,"no comprensivo".
314,"sin encoger, sin intimidar, sin pestañear, sin parpadear,"
315,"sin miedo".
316,"agresivo".
317,"combativo, belicoso, batallador,"
318,"militante, competitiva".
319,"alta presión, golpe fuerte".
320,"en tu cara".
321,"obstinado".
322,"rudo, pugnaz".
323,"scrappy".
324,"truculento".
325,"no agresivo, no agresivo".
326,"baja presión".
327,"agitado".
328,"excitada, excitada, emocional, excitada,"
329,"sobreexcitado, angustiado".
330,"sacudida, sacudida".
331,"agitado, febril".
332,"frenético, frenético, frenético, frenético,"
333,"histérica".
334,"psicodélico".
335,"sin agitación".
336,"agitado".
337,"agitado, agitado".
338,"hirviendo".
339,"sin agitación".
340,"no turbulento".
341,"sin remover".
342,"agradable".
